t_Android,t_unix,x,y,z,a
85039491950114,1701121999240,1.7976238,-3.274543,-1.7114917,3
85039512000114,1701121999280,1.7976238,-3.274543,-1.7114917,3
85039532050114,1701121999280,1.7976238,-3.274543,-1.7114917,3
85039552100114,1701121999324,1.7976238,-3.274543,-1.7114917,3
85039572150114,1701121999324,1.7976238,-3.274543,-1.7114917,3
85039592200114,1701121999361,1.7976238,-3.274543,-1.7114917,3
85039612250114,1701121999361,1.7976238,-3.274543,-1.7114917,3
85039632300114,1701121999401,1.7976238,-3.274543,-1.7114917,3
85039652365614,1701121999401,1.7976238,-3.274543,-1.7114917,3
85039672431114,1701121999441,1.7976238,-3.274543,-1.7114917,3
85039692466114,1701121999441,1.7976238,-3.274543,-1.7114917,3
85039712501114,1701121999484,1.7976238,-3.274543,-1.7114917,3
85039732551114,1701121999484,1.7976238,-3.274543,-1.7114917,3
85039752601114,1701121999522,1.7976238,-3.274543,-1.7114917,3
85039772651114,1701121999522,1.7976238,-3.274543,-1.7114917,3
85039792701114,1701121999562,1.7976238,-3.274543,-1.7114917,3
85039812766114,1701121999562,1.7976238,-3.274543,-1.7114917,3
85039832831114,1701121999602,1.7976238,-3.274543,-1.7114917,3
85039852866114,1701121999602,1.7976238,-3.274543,-1.7114917,3
85039872901114,1701121999641,1.7976238,-3.274543,-1.7114917,3
85039892951114,1701121999641,1.7976238,-3.274543,-1.7114917,3
85039913001114,1701121999682,1.7976238,-3.274543,-1.7114917,3
85039933051114,1701121999682,1.7976238,-3.274543,-1.7114917,3
85039953101114,1701121999722,1.7976238,-3.274543,-1.7114917,3
85039973151114,1701121999722,1.7976238,-3.274543,-1.7114917,3
85039993201114,1701121999761,1.7976238,-3.274543,-1.7114917,3
85040013251114,1701121999761,1.7976238,-3.274543,-1.7114917,3
85040033301114,1701121999802,1.7976238,-3.274543,-1.7114917,3
85040053351114,1701121999802,1.7976238,-3.274543,-1.7114917,3
85040073401114,1701121999842,1.7976238,-3.274543,-1.7114917,3
85040093451614,1701121999842,1.7976238,-3.274543,-1.7114917,3
85040113502114,1701121999882,1.7976238,-3.274543,-1.7114917,3
85040133552114,1701121999882,1.7976238,-3.274543,-1.7114917,3
85040153602114,1701121999922,1.7976238,-3.274543,-1.7114917,3
85040173652114,1701121999922,1.7976238,-3.274543,-1.7114917,3
85040193702114,1701121999964,1.7976238,-3.274543,-1.7114917,3
85040213752114,1701121999965,1.7976238,-3.274543,-1.7114917,3
85040233802114,1701122000004,1.7976238,-3.274543,-1.7114917,3
85040253867114,1701122000004,1.7976238,-3.274543,-1.7114917,3
85040273932114,1701122000042,1.7976238,-3.274543,-1.7114917,3
85040293967114,1701122000042,1.7976238,-3.274543,-1.7114917,3
85040314002114,1701122000082,1.7976238,-3.274543,-1.7114917,3
85040334067614,1701122000082,1.7976238,-3.274543,-1.7114917,3
85040354133114,1701122000123,1.7976238,-3.274543,-1.7114917,3
85040374183114,1701122000123,1.7976238,-3.274543,-1.7114917,3
85040394233114,1701122000163,1.7976238,-3.274543,-1.7114917,3
85040414283114,1701122000163,1.7976238,-3.274543,-1.7114917,3
85040434333114,1701122000203,1.7976238,-3.274543,-1.7114917,3
85040454383114,1701122000203,1.7976238,-3.274543,-1.7114917,3
85040474433114,1701122000243,1.7976238,-3.274543,-1.7114917,3
85040494483114,1701122000243,1.7976238,-3.274543,-1.7114917,3
85040514533114,1701122000283,1.7976238,-3.274543,-1.7114917,3
85040534583114,1701122000283,1.7976238,-3.274543,-1.7114917,3
85040554633114,1701122000325,1.7976238,-3.274543,-1.7114917,3
85040574683114,1701122000325,1.7976238,-3.274543,-1.7114917,3
85040594733114,1701122000363,1.7976238,-3.274543,-1.7114917,3
85040614783114,1701122000363,1.7976238,-3.274543,-1.7114917,3
85040634833114,1701122000403,1.7976238,-3.274543,-1.7114917,3
85040654883114,1701122000403,1.7976238,-3.274543,-1.7114917,3
85040674933114,1701122000448,1.7976238,-3.274543,-1.7114917,3
85040694983614,1701122000448,1.7976238,-3.274543,-1.7114917,3
85040715034114,1701122000482,1.7976238,-3.274543,-1.7114917,3
85040735084114,1701122000482,1.7976238,-3.274543,-1.7114917,3
85040755134114,1701122000524,1.7976238,-3.274543,-1.7114917,3
85040775184114,1701122000524,1.7976238,-3.274543,-1.7114917,3
85040795234114,1701122000563,1.7976238,-3.274543,-1.7114917,3
85040815284114,1701122000563,1.7976238,-3.274543,-1.7114917,3
