t_Android;t_unix;x;y;z;a
84217467424478;1701121177226;1.2684447;21.399464;-14.943451;1
84217487474478;1701121177226;1.2684447;21.399464;-14.943451;1
84217507524478;1701121177265;1.2684447;21.399464;-14.943451;1
84217527574478;1701121177265;1.2684447;21.399464;-14.943451;1
84217547616728;1701121177306;1.2684447;21.399464;-14.943451;1
84217567651228;1701121177306;1.2684447;21.399464;-14.943451;1
84217587701228;1701121177347;1.2684447;21.399464;-14.943451;1
84217607766728;1701121177347;1.2684447;21.399464;-14.943451;1
84217627824478;1701121177386;1.2684447;21.399464;-14.943451;1
84217647874478;1701121177386;1.2684447;21.399464;-14.943451;1
84217667916978;1701121177429;1.2684447;21.399464;-14.943451;1
84217687951978;1701121177429;1.2684447;21.399464;-14.943451;1
84217707994478;1701121177466;1.2684447;21.399464;-14.943451;1
84217728044478;1701121177466;1.2684447;21.399464;-14.943451;1
84217748094478;1701121177506;1.2684447;21.399464;-14.943451;1
84217768144478;1701121177506;1.2684447;21.399464;-14.943451;1
84217788194478;1701121177547;1.2684447;21.399464;-14.943451;1
84217808244478;1701121177547;1.2684447;21.399464;-14.943451;1
84217828294478;1701121177588;1.2684447;21.399464;-14.943451;1
84217848344478;1701121177588;1.2684447;21.399464;-14.943451;1
84217868394478;1701121177629;1.2684447;21.399464;-14.943451;1
84217888444478;1701121177629;1.2684447;21.399464;-14.943451;1
84217908494478;1701121177668;1.2684447;21.399464;-14.943451;1
84217928544478;1701121177668;1.2684447;21.399464;-14.943451;1
84217948594478;1701121177707;1.2684447;21.399464;-14.943451;1
84217968644478;1701121177707;1.2684447;21.399464;-14.943451;1
84217988694728;1701121177746;1.2684447;21.399464;-14.943451;1
84218008745228;1701121177746;1.2684447;21.399464;-14.943451;1
84218028795478;1701121177788;1.2684447;21.399464;-14.943451;1
84218048845478;1701121177788;1.2684447;21.399464;-14.943451;1
84218068895478;1701121177827;1.2684447;21.399464;-14.943451;1
84218088945478;1701121177828;1.2684447;21.399464;-14.943451;1
84218108987728;1701121177867;1.2684447;21.399464;-14.943451;1
84218129022228;1701121177867;1.2684447;21.399464;-14.943451;1
84218149072228;1701121177908;1.2684447;21.399464;-14.943451;1
84218169137728;1701121177908;1.2684447;21.399464;-14.943451;1
84218189195478;1701121177948;1.2684447;21.399464;-14.943451;1
84218209245478;1701121177948;1.2684447;21.399464;-14.943451;1
84218229295478;1701121177988;1.2684447;21.399464;-14.943451;1
84218249345478;1701121177988;1.2684447;21.399464;-14.943451;1
84218269387978;1701121178028;1.2684447;21.399464;-14.943451;1
84218289422978;1701121178028;1.2684447;21.399464;-14.943451;1
84218309465478;1701121178068;1.2684447;21.399464;-14.943451;1
84218329515478;1701121178068;1.2684447;21.399464;-14.943451;1
84218349565478;1701121178110;1.2684447;21.399464;-14.943451;1
84218369615478;1701121178110;1.2684447;21.399464;-14.943451;1
84218389665478;1701121178147;1.2684447;21.399464;-14.943451;1
84218409715478;1701121178147;1.2684447;21.399464;-14.943451;1
84218429765478;1701121178188;1.2684447;21.399464;-14.943451;1
84218449815478;1701121178188;1.2684447;21.399464;-14.943451;1
84218469865478;1701121178227;1.2684447;21.399464;-14.943451;1
84218489915478;1701121178227;1.2684447;21.399464;-14.943451;1
84218509965478;1701121178269;1.2684447;21.399464;-14.943451;1
84218530015478;1701121178269;1.2684447;21.399464;-14.943451;1
84218550065478;1701121178308;1.2684447;21.399464;-14.943451;1
84218570115478;1701121178308;1.2684447;21.399464;-14.943451;1
84218590165478;1701121178347;1.2684447;21.399464;-14.943451;1
84218610215478;1701121178347;1.2684447;21.399464;-14.943451;1
84218630257978;1701121178388;1.2684447;21.399464;-14.943451;1
84218650292978;1701121178388;1.2684447;21.399464;-14.943451;1
84218670343228;1701121178430;1.2684447;21.399464;-14.943451;1
84218690408728;1701121178430;1.2684447;21.399464;-14.943451;1
84218710466478;1701121178469;1.2684447;21.399464;-14.943451;1
84218730516478;1701121178469;1.2684447;21.399464;-14.943451;1
84218750566478;1701121178509;1.2684447;21.399464;-14.943451;1
84218770616478;1701121178509;1.2684447;21.399464;-14.943451;1
84218790666478;1701121178550;1.2684447;21.399464;-14.943451;1
84218810716478;1701121178550;1.2684447;21.399464;-14.943451;1
84218830758978;1701121178591;1.2684447;21.399464;-14.943451;1
84218850793978;1701121178591;1.2684447;21.399464;-14.943451;1
84218870836478;1701121178629;1.2684447;21.399464;-14.943451;1
84218890886478;1701121178629;1.2684447;21.399464;-14.943451;1
84218910936478;1701121178673;1.2684447;21.399464;-14.943451;1
84218930986478;1701121178673;1.2684447;21.399464;-14.943451;1
84218951036478;1701121178710;1.2684447;21.399464;-14.943451;1
84218971086478;1701121178710;1.2684447;21.399464;-14.943451;1
84218991136478;1701121178749;1.2684447;21.399464;-14.943451;1
84219011186478;1701121178749;1.2684447;21.399464;-14.943451;1
84219031236478;1701121178789;1.2684447;21.399464;-14.943451;1
84219051286478;1701121178789;1.2684447;21.399464;-14.943451;1
84219071336478;1701121178830;1.2684447;21.399464;-14.943451;1
84219091386478;1701121178830;1.2684447;21.399464;-14.943451;1
84219111436478;1701121178870;1.2684447;21.399464;-14.943451;1
84219131486478;1701121178870;1.2684447;21.399464;-14.943451;1
84219151536478;1701121178910;1.2684447;21.399464;-14.943451;1
84219171586478;1701121178910;1.2684447;21.399464;-14.943451;1
84219191636478;1701121178950;1.2684447;21.399464;-14.943451;1
84219211686478;1701121178950;1.2684447;21.399464;-14.943451;1
84219231736728;1701121178990;1.2684447;21.399464;-14.943451;1
